
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
    AE_2d_l128                               R²=-0.0106  CIΔ=[-0.489, -0.440] vs B3_pca_k4
    AE_2d_l32_mae015                         R²=-0.0118  CIΔ=[-0.489, -0.438] vs B3_pca_k4
    AE_2d_l64                                R²=-0.0133  CIΔ=[-0.492, -0.440] vs B3_pca_k4
    B3T_pca_k32_t4                           R²=-0.0149
    B3T_pca_k64_t4                           R²=-0.0152
    B3T_pca_k16_t4                           R²=-0.0156
    B3T_pca_k128_t4                          R²=-0.0162
    AE_2d_l32_mae030                         R²=-0.0169  CIΔ=[-0.514, -0.429] vs B3_pca_k4
    AE_2d_l32_chlk49nfl                      R²=-0.0193  CIΔ=[-0.497, -0.445] vs B3_pca_k4
    AE_2d_l16                                R²=-0.0231  CIΔ=[-0.497, -0.450] vs B3_pca_k4
    AE_2d_l32_chl                            R²=-0.0253  CIΔ=[-0.532, -0.434] vs B3_pca_k4
    AE_2d_l32                                R²=-0.0277  CIΔ=[-0.506, -0.454] vs B3_pca_k4
    AE_2d_l4                                 R²=-0.0285  CIΔ=[-0.506, -0.459] vs B3_pca_k4
    AE_3d_l32_t4_chlnflsst                   R²=-0.0292  CIΔ=[-0.584, -0.492] vs B3T_pca_k4_t4
    B3_pca_k128                              R²=-0.0304
    AE_2d_l32_chlk49sst                      R²=-0.0330  CIΔ=[-0.513, -0.462] vs B3_pca_k4
    B3_pca_k64                               R²=-0.0358
    B3_pca_k32                               R²=-0.0408
    AE_2d_l32_k49nflsst                      R²=-0.0428  CIΔ=[-0.527, -0.471] vs B3_pca_k4
    B3_pca_k16                               R²=-0.0541
    AE_3d_l32_t4_chl                         R²=-0.0695  CIΔ=[-0.643, -0.515] vs B3T_pca_k4_t4

  SW Washington / Long Beach:
    AE_3d_l32_t4_mae070                      R²=+0.8683  CIΔ=[+0.919, +1.046] vs B3T_pca_k16_t4
    AE_3d_l32_t4_mae040                      R²=+0.8657  CIΔ=[+0.919, +1.041] vs B3T_pca_k16_t4
    AE_3d_l32_t4_mae050                      R²=+0.8433  CIΔ=[+0.884, +1.023] vs B3T_pca_k16_t4
    AE_3d_l32_t4_mae030                      R²=+0.7144  CIΔ=[+0.768, +0.890] vs B3T_pca_k16_t4
    B2_multivar_zscore                       R²=+0.7135
    AE_2d_l32_mae050                         R²=+0.6809  CIΔ=[+0.829, +0.953] vs B3_pca_k128
    B1_chla_zscore                           R²=+0.6508
    AE_2d_l32_mae070                         R²=+0.5144  CIΔ=[+0.648, +0.795] vs B3_pca_k128
    AE_2d_l32_mae040                         R²=+0.3070  CIΔ=[+0.463, +0.567] vs B3_pca_k128
    AE_2d_l32_chlnflsst                      R²=-0.0001  CIΔ=[+0.146, +0.270] vs B3_pca_k128
    AE_3d_l32_t4_chlnflsst                   R²=-0.0027  CIΔ=[+0.065, +0.154] vs B3T_pca_k16_t4
    AE_2d_l32_mae030                         R²=-0.0040  CIΔ=[+0.141, +0.267] vs B3_pca_k128
    AE_2d_l32_chl                            R²=-0.0086  CIΔ=[+0.126, +0.260] vs B3_pca_k128
    AE_3d_l32_t4_mae015                      R²=-0.0137  CIΔ=[+0.065, +0.128] vs B3T_pca_k16_t4
    AE_3d_l16_t4                             R²=-0.0276  CIΔ=[+0.060, +0.114] vs B3T_pca_k16_t4
    AE_3d_l64_t4                             R²=-0.0291  CIΔ=[+0.057, +0.113] vs B3T_pca_k16_t4
    AE_3d_l32_t4_chl                         R²=-0.0300  CIΔ=[+0.020, +0.145] vs B3T_pca_k16_t4
    AE_3d_l128_t4                            R²=-0.0330  CIΔ=[+0.054, +0.110] vs B3T_pca_k16_t4
    AE_3d_l32_t4                             R²=-0.0358  CIΔ=[+0.052, +0.104] vs B3T_pca_k16_t4
    AE_3d_l32_t4_chlk49nfl                   R²=-0.0380  CIΔ=[+0.049, +0.104] vs B3T_pca_k16_t4
    AE_3d_l32_t4_chlk49sst                   R²=-0.0408  CIΔ=[+0.047, +0.098] vs B3T_pca_k16_t4
    AE_3d_l4_t4                              R²=-0.0524  CIΔ=[+0.039, +0.086] vs B3T_pca_k16_t4
    AE_2d_l32_mae015                         R²=-0.0570  CIΔ=[+0.118, +0.185] vs B3_pca_k128
    AE_3d_l32_t4_k49nflsst                   R²=-0.0586  CIΔ=[+0.031, +0.079] vs B3T_pca_k16_t4
    AE_2d_l128                               R²=-0.0646  CIΔ=[+0.108, +0.176] vs B3_pca_k128
    AE_2d_l64                                R²=-0.0729  CIΔ=[+0.103, +0.164] vs B3_pca_k128
    AE_2d_l32_chlk49nfl                      R²=-0.0746  CIΔ=[+0.097, +0.168] vs B3_pca_k128
    AE_2d_l16                                R²=-0.0843  CIΔ=[+0.094, +0.152] vs B3_pca_k128
    AE_2d_l32                                R²=-0.0874  CIΔ=[+0.093, +0.148] vs B3_pca_k128
    AE_2d_l32_chlk49sst                      R²=-0.1019  CIΔ=[+0.078, +0.132] vs B3_pca_k128
    B3T_pca_k16_t4                           R²=-0.1120
    AE_2d_l4                                 R²=-0.1161  CIΔ=[+0.064, +0.120] vs B3_pca_k128
    B3T_pca_k32_t4                           R²=-0.1309
    AE_2d_l32_k49nflsst                      R²=-0.1323  CIΔ=[+0.051, +0.100] vs B3_pca_k128
    B3T_pca_k4_t4                            R²=-0.1513
    B3T_pca_k128_t4                          R²=-0.1584
    B3T_pca_k64_t4                           R²=-0.1709
    B3_pca_k128                              R²=-0.2047
    B3_pca_k32                               R²=-0.2099
    B3_pca_k16                               R²=-0.2128
    B3_pca_k4                                R²=-0.2272
    B3_pca_k64                               R²=-0.2278

  Central Oregon:
    AE_3d_l32_t4_mae070                      R²=+0.8860  CIΔ=[+0.424, +0.642] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae040                      R²=+0.8441  CIΔ=[+0.403, +0.568] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae050                      R²=+0.8340  CIΔ=[+0.377, +0.588] vs B3T_pca_k4_t4
    AE_2d_l32_mae070                         R²=+0.7780  CIΔ=[+0.383, +0.510] vs B3_pca_k4
    B2_multivar_zscore                       R²=+0.5760
    B1_chla_zscore                           R²=+0.5458
    AE_2d_l32_mae050                         R²=+0.5219  CIΔ=[+0.156, +0.236] vs B3_pca_k4
    AE_3d_l32_t4_mae030                      R²=+0.4258  CIΔ=[+0.022, +0.130] vs B3T_pca_k4_t4
    B3T_pca_k4_t4                            R²=+0.3461
    B3_pca_k4                                R²=+0.3238
    AE_2d_l32_mae040                         R²=+0.1308  CIΔ=[-0.235, -0.158] vs B3_pca_k4
    AE_3d_l16_t4                             R²=-0.0000  CIΔ=[-0.420, -0.271] vs B3T_pca_k4_t4
    AE_3d_l64_t4                             R²=-0.0001  CIΔ=[-0.419, -0.272] vs B3T_pca_k4_t4
    AE_3d_l128_t4                            R²=-0.0001  CIΔ=[-0.421, -0.279] vs B3T_pca_k4_t4
    B3T_pca_k16_t4                           R²=-0.0002
    AE_3d_l32_t4_chlk49nfl                   R²=-0.0002  CIΔ=[-0.413, -0.270] vs B3T_pca_k4_t4
    B3T_pca_k32_t4                           R²=-0.0002
    AE_3d_l32_t4                             R²=-0.0004  CIΔ=[-0.419, -0.275] vs B3T_pca_k4_t4
    B3T_pca_k64_t4                           R²=-0.0008
    AE_3d_l32_t4_mae015                      R²=-0.0008  CIΔ=[-0.423, -0.279] vs B3T_pca_k4_t4
    AE_3d_l4_t4                              R²=-0.0010  CIΔ=[-0.413, -0.277] vs B3T_pca_k4_t4
    AE_3d_l32_t4_k49nflsst                   R²=-0.0011  CIΔ=[-0.424, -0.281] vs B3T_pca_k4_t4
    B3T_pca_k128_t4                          R²=-0.0011
    AE_3d_l32_t4_chlk49sst                   R²=-0.0012  CIΔ=[-0.421, -0.271] vs B3T_pca_k4_t4
    AE_2d_l32_mae015                         R²=-0.0034  CIΔ=[-0.352, -0.298] vs B3_pca_k4
    AE_2d_l128                               R²=-0.0040  CIΔ=[-0.354, -0.302] vs B3_pca_k4
    AE_2d_l64                                R²=-0.0045  CIΔ=[-0.355, -0.304] vs B3_pca_k4
    B3_pca_k128                              R²=-0.0059
    AE_2d_l32_chlk49nfl                      R²=-0.0070  CIΔ=[-0.356, -0.303] vs B3_pca_k4
    B3_pca_k64                               R²=-0.0078
    AE_2d_l16                                R²=-0.0085  CIΔ=[-0.357, -0.306] vs B3_pca_k4
    B3_pca_k32                               R²=-0.0090
    AE_2d_l32                                R²=-0.0090  CIΔ=[-0.358, -0.305] vs B3_pca_k4
    AE_2d_l4                                 R²=-0.0105  CIΔ=[-0.358, -0.308] vs B3_pca_k4
    AE_2d_l32_chlnflsst                      R²=-0.0117  CIΔ=[-0.375, -0.299] vs B3_pca_k4
    B3_pca_k16                               R²=-0.0130
    AE_2d_l32_chl                            R²=-0.0130  CIΔ=[-0.378, -0.299] vs B3_pca_k4
    AE_2d_l32_chlk49sst                      R²=-0.0156  CIΔ=[-0.365, -0.313] vs B3_pca_k4
    AE_3d_l32_t4_chl                         R²=-0.0191  CIΔ=[-0.455, -0.279] vs B3T_pca_k4_t4
    AE_2d_l32_k49nflsst                      R²=-0.0212  CIΔ=[-0.369, -0.316] vs B3_pca_k4
    AE_3d_l32_t4_chlnflsst                   R²=-0.0243  CIΔ=[-0.457, -0.285] vs B3T_pca_k4_t4
    AE_2d_l32_mae030                         R²=-0.0337  CIΔ=[-0.412, -0.312] vs B3_pca_k4

  Southern OR / N CA:
    AE_3d_l32_t4_mae070                      R²=+0.9269  CIΔ=[+0.237, +0.301] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae050                      R²=+0.8649  CIΔ=[+0.171, +0.241] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae040                      R²=+0.8389  CIΔ=[+0.151, +0.209] vs B3T_pca_k4_t4
    AE_2d_l32_mae070                         R²=+0.7722  CIΔ=[+0.059, +0.159] vs B3_pca_k4
    B2_multivar_zscore                       R²=+0.7460
    B3T_pca_k4_t4                            R²=+0.6584
    B3_pca_k4                                R²=+0.6583
    B1_chla_zscore                           R²=+0.6323
    AE_2d_l32_mae050                         R²=+0.5632  CIΔ=[-0.120, -0.071] vs B3_pca_k4
    AE_3d_l32_t4_mae030                      R²=+0.4341  CIΔ=[-0.258, -0.189] vs B3T_pca_k4_t4
    AE_3d_l4_t4                              R²=+0.4006  CIΔ=[-0.269, -0.245] vs B3T_pca_k4_t4
    AE_2d_l4                                 R²=+0.2547  CIΔ=[-0.417, -0.389] vs B3_pca_k4
    AE_2d_l32_mae040                         R²=+0.1738  CIΔ=[-0.509, -0.465] vs B3_pca_k4
    B3T_pca_k16_t4                           R²=+0.0328
    AE_2d_l32_chl                            R²=-0.0000  CIΔ=[-0.683, -0.631] vs B3_pca_k4
    AE_3d_l16_t4                             R²=-0.0001  CIΔ=[-0.685, -0.622] vs B3T_pca_k4_t4
    AE_3d_l32_t4_mae015                      R²=-0.0002  CIΔ=[-0.687, -0.627] vs B3T_pca_k4_t4
    AE_3d_l32_t4_chlk49sst                   R²=-0.0002  CIΔ=[-0.688, -0.627] vs B3T_pca_k4_t4
    AE_3d_l32_t4_k49nflsst                   R²=-0.0015  CIΔ=[-0.687, -0.627] vs B3T_pca_k4_t4
    AE_2d_l32_mae030                         R²=-0.0018  CIΔ=[-0.688, -0.635] vs B3_pca_k4
    AE_3d_l32_t4_chlk49nfl                   R²=-0.0020  CIΔ=[-0.691, -0.630] vs B3T_pca_k4_t4
    AE_3d_l32_t4                             R²=-0.0023  CIΔ=[-0.687, -0.628] vs B3T_pca_k4_t4
    AE_2d_l32_chlnflsst                      R²=-0.0029  CIΔ=[-0.685, -0.636] vs B3_pca_k4
    B3T_pca_k32_t4                           R²=-0.0029
    AE_3d_l32_t4_chlnflsst                   R²=-0.0036  CIΔ=[-0.695, -0.630] vs B3T_pca_k4_t4
    AE_3d_l64_t4                             R²=-0.0038  CIΔ=[-0.694, -0.634] vs B3T_pca_k4_t4
    AE_3d_l128_t4                            R²=-0.0045  CIΔ=[-0.693, -0.633] vs B3T_pca_k4_t4
    B3T_pca_k64_t4                           R²=-0.0078
    B3T_pca_k128_t4                          R²=-0.0098
    AE_3d_l32_t4_chl                         R²=-0.0099  CIΔ=[-0.704, -0.633] vs B3T_pca_k4_t4
    AE_2d_l32_mae015                         R²=-0.0154  CIΔ=[-0.701, -0.649] vs B3_pca_k4
    AE_2d_l16                                R²=-0.0168  CIΔ=[-0.699, -0.646] vs B3_pca_k4
    AE_2d_l32_chlk49sst                      R²=-0.0185  CIΔ=[-0.703, -0.653] vs B3_pca_k4
    AE_2d_l64                                R²=-0.0200  CIΔ=[-0.704, -0.650] vs B3_pca_k4
    AE_2d_l32_chlk49nfl                      R²=-0.0208  CIΔ=[-0.707, -0.652] vs B3_pca_k4
    B3_pca_k16                               R²=-0.0212
    AE_2d_l128                               R²=-0.0215  CIΔ=[-0.710, -0.652] vs B3_pca_k4
    AE_2d_l32                                R²=-0.0226  CIΔ=[-0.709, -0.653] vs B3_pca_k4
    B3_pca_k32                               R²=-0.0248
    B3_pca_k128                              R²=-0.0292
    B3_pca_k64                               R²=-0.0297
    AE_2d_l32_k49nflsst                      R²=-0.0320  CIΔ=[-0.719, -0.657] vs B3_pca_k4
