
Loaded 985020 rows  |  methods: ['AE_2d_l128', 'AE_2d_l16', 'AE_2d_l32', 'AE_2d_l32_chl', 'AE_2d_l32_chlk49nfl', 'AE_2d_l32_chlk49sst', 'AE_2d_l32_chlnflsst', 'AE_2d_l32_k49nflsst', 'AE_2d_l32_mae015', 'AE_2d_l32_mae030', 'AE_2d_l32_mae040', 'AE_2d_l32_mae050', 'AE_2d_l32_mae070', 'AE_2d_l4', 'AE_2d_l64', 'AE_3d_l128_t4', 'AE_3d_l16_t4', 'AE_3d_l32_t4', 'AE_3d_l32_t4_chl', 'AE_3d_l32_t4_chlk49nfl', 'AE_3d_l32_t4_chlk49sst', 'AE_3d_l32_t4_chlnflsst', 'AE_3d_l32_t4_k49nflsst', 'AE_3d_l32_t4_mae015', 'AE_3d_l32_t4_mae030', 'AE_3d_l32_t4_mae040', 'AE_3d_l32_t4_mae050', 'AE_3d_l32_t4_mae070', 'AE_3d_l4_t4', 'AE_3d_l64_t4', 'B1_chla_zscore', 'B2_multivar_zscore', 'B3T_pca_k128_t4', 'B3T_pca_k16_t4', 'B3T_pca_k32_t4', 'B3T_pca_k4_t4', 'B3T_pca_k64_t4', 'B3_pca_k128', 'B3_pca_k16', 'B3_pca_k32', 'B3_pca_k4', 'B3_pca_k64']  |  regions: 5

============================================================================================
Method                                   Region                                  Mean      Std
AE_2d_l4                                 Central Oregon                         0.392    0.292
AE_2d_l64                                Central Oregon                         0.209    0.179
AE_3d_l128_t4                            Central Oregon                         0.218    0.188
AE_3d_l16_t4                             Central Oregon                         0.324    0.280
AE_3d_l32_t4                             Central Oregon                         0.269    0.224
AE_3d_l32_t4_chl                         Central Oregon                         0.097    0.117
AE_3d_l32_t4_chlk49nfl                   Central Oregon                         0.257    0.220
AE_3d_l32_t4_chlk49sst                   Central Oregon                         0.200    0.195
AE_3d_l32_t4_chlnflsst                   Central Oregon                         0.181    0.153
AE_3d_l32_t4_k49nflsst                   Central Oregon                         0.195    0.160
AE_3d_l32_t4_mae015                      Central Oregon                         0.284    0.230
AE_3d_l32_t4_mae030                      Central Oregon                         0.473    0.439
AE_3d_l32_t4_mae040                      Central Oregon                         1.118    1.224
AE_3d_l32_t4_mae050                      Central Oregon                         2.211    2.964
AE_3d_l32_t4_mae070                      Central Oregon                        16.383   21.558
AE_3d_l4_t4                              Central Oregon                         0.444    0.350
AE_3d_l64_t4                             Central Oregon                         0.242    0.205
B1_chla_zscore                           Central Oregon                         0.976    0.747
B2_multivar_zscore                       Central Oregon                         3.843    2.260
B3T_pca_k128_t4                          Central Oregon                         0.237    0.191
B3T_pca_k16_t4                           Central Oregon                         0.400    0.317
B3T_pca_k32_t4                           Central Oregon                         0.325    0.251
B3T_pca_k4_t4                            Central Oregon                         0.600    0.436
B3T_pca_k64_t4                           Central Oregon                         0.273    0.213
B3_pca_k128                              Central Oregon                         0.202    0.167
B3_pca_k16                               Central Oregon                         0.337    0.239
B3_pca_k32                               Central Oregon                         0.275    0.206
B3_pca_k4                                Central Oregon                         0.550    0.389
B3_pca_k64                               Central Oregon                         0.232    0.184

AE_2d_l128                               Southern OR / N CA                     0.212    0.171
AE_2d_l16                                Southern OR / N CA                     0.313    0.238
AE_2d_l32                                Southern OR / N CA                     0.271    0.209
AE_2d_l32_chl                            Southern OR / N CA                     0.079    0.080
